19 points, 19 jobs, pool=4
  a=[3, 1, 3, 2, 2, 1, 1, 2] n=1 den(P)~10^3 {'proven': 'X', '1': 'X', '2': 'X', '3': 'X', '4': 'X', '5': 'X'} [806.9s]
  a=[2, 1, 2, 2, 1, 3, 3, 2] n=1 den(P)~10^2 {'proven': 'OK/s2', '1': 'X', '2': 'X', '3': 'OK/s1', '4': 'OK/s2', '5': 'OK/s2'} [1135.1s]
  a=[2, 2, 3, 2, 4, 2, 1, 3] n=1 den(P)~10^4 {'proven': 'OK/s1', '1': 'X', '2': 'OK/s1', '3': 'OK/s1', '4': 'OK/s1', '5': 'OK/s1'} [1365.5s]
  a=[2, 2, 3, 3, 3, 2, 2, 2] n=1 den(P)~10^4 {'proven': 'OK/s2', '1': 'OK/s2', '2': 'OK/s2', '3': 'OK/s2', '4': 'OK/s2', '5': 'OK/s1'} [1440.5s]
  a=[3, 2, 2, 2, 2, 2, 2, 3] n=1 den(P)~10^4 {'proven': 'OK/s2', '1': 'X', '2': 'X', '3': 'OK/s1', '4': 'OK/s2', '5': 'OK/s2'} [1262.2s]
  a=[4, 1, 3, 2, 3, 2, 4, 1] n=1 den(P)~10^6 {'proven': 'X', '1': 'X', '2': 'X', '3': 'X', '4': 'X', '5': 'X'} [1060.0s]
  a=[2, 2, 3, 3, 3, 3, 4, 2] n=1 den(P)~10^4 {'proven': 'OK/s1', '1': 'X', '2': 'X', '3': 'OK/s1', '4': 'OK/s1', '5': 'OK/s1'} [1478.4s]
  a=[1, 4, 1, 4, 3, 3, 3, 1] n=1 den(P)~10^5 {'proven': 'OK/s1', '1': 'OK/s1', '2': 'X', '3': 'X', '4': 'X', '5': 'X'} [1280.3s]
  a=[2, 3, 3, 4, 2, 2, 2, 2] n=1 den(P)~10^6 {'proven': 'OK', '1': 'X', '2': 'X', '3': 'X', '4': 'X', '5': 'X'} [1477.2s]
  a=[2, 2, 2, 3, 1, 4, 4, 3] n=1 den(P)~10^4 {'proven': 'OK/s2', '1': 'OK', '2': 'OK/s1', '3': 'OK/s2', '4': 'OK/s2', '5': 'OK/s2'} [2039.7s]
  a=[2, 4, 1, 4, 3, 3, 1, 3] n=1 den(P)~10^6 {'proven': 'OK/s1', '1': 'OK/s1', '2': 'OK/s1', '3': 'OK/s1', '4': 'OK', '5': 'X'} [1709.7s]
  a=[4, 3, 4, 2, 4, 1, 1, 4] n=1 den(P)~10^5 {'proven': 'OK/s2', '1': 'X', '2': 'OK/s1', '3': 'OK/s1', '4': 'OK/s2', '5': 'X'} [1897.9s]
  a=[4, 3, 4, 4, 3, 2, 4, 2] n=1 den(P)~10^3 {'proven': 'OK/s3', '1': 'OK/s3', '2': 'OK/s3', '3': 'OK/s3', '4': 'OK/s3', '5': 'X'} [1389.4s]
  a=[1, 4, 3, 4, 4, 4, 4, 3] n=1 den(P)~10^5 {'proven': 'OK/s3', '1': 'OK/s3', '2': 'OK/s3', '3': 'OK/s3', '4': 'OK/s3', '5': 'OK/s2'} [1610.2s]
  a=[1, 1, 2, 1, 1, 3, 3, 3] n=1 den(P)~10^3 {'proven': 'OK/s2', '1': 'X', '2': 'X', '3': 'X', '4': 'OK/s1', '5': 'OK/s2'} [800.1s]
  a=[4, 4, 3, 3, 3, 2, 3, 2] n=1 den(P)~10^5 {'proven': 'OK/s1', '1': 'X', '2': 'OK/s1', '3': 'OK/s1', '4': 'OK/s1', '5': 'X'} [1886.6s]
  a=[4, 4, 4, 3, 4, 1, 2, 3] n=1 den(P)~10^5 {'proven': 'OK/s2', '1': 'OK/s2', '2': 'OK/s2', '3': 'OK/s2', '4': 'X', '5': 'X'} [1847.3s]
  a=[2, 3, 2, 2, 1, 2, 1, 3] n=1 den(P)~10^4 {'proven': 'OK', '1': 'OK', '2': 'OK', '3': 'OK', '4': 'X', '5': 'X'} [1128.8s]
  a=[3, 1, 2, 1, 1, 2, 2, 1] n=1 den(P)~10^3 {'proven': 'X', '1': 'X', '2': 'X', '3': 'X', '4': 'X', '5': 'X'} [1299.8s]
done
